127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000798
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001836
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000350
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000449
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.017416
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000447
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001070
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000525
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000302
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000301
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.003448
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000523
